iter	Passed	Remaining
672	22231	10801
673	22264	10768
674	22294	10734
675	22330	10702
676	22368	10671
677	22396	10636
678	22425	10601
679	22459	10569
680	22490	10535
681	22518	10499
682	22546	10464
683	22575	10429
684	22603	10394
685	22634	10360
686	22664	10325
687	22691	10290
688	22720	10255
689	22750	10221
690	22780	10186
691	22808	10151
692	22839	10117
693	22867	10082
694	22899	10049
695	22934	10017
696	22960	9981
697	22996	9949
698	23030	9917
699	23064	9884
700	23094	9850
701	23125	9816
702	23159	9784
703	23195	9752
704	23228	9719
705	23254	9683
706	23282	9648
707	23314	9615
708	23346	9582
709	23376	9548
710	23406	9514
711	23438	9480
712	23464	9445
713	23493	9410
714	23519	9374
715	23547	9340
716	23577	9305
717	23606	9271
718	23640	9239
719	23674	9206
720	23701	9171
721	23728	9136
722	23758	9102
723	23790	9069
724	23820	9035
725	23848	9000
726	23878	8966
727	23906	8931
728	23942	8900
729	23974	8867
730	24001	8832
731	24035	8799
732	24067	8766
733	24097	8732
734	24130	8700
735	24161	8666
736	24198	8635
737	24224	8599
738	24257	8567
739	24290	8534
740	24325	8502
741	24350	8466
742	24383	8434
743	24412	8400
744	24441	8366
745	24466	8330
746	24495	8296
747	24528	8263
748	24560	8230
749	24585	8195
750	24622	8163
751	24648	8128
752	24678	8095
753	24711	8062
754	24742	8029
755	24768	7993
756	24801	7961
757	24833	7928
758	24863	7894
759	24899	7863
760	24925	7827
761	24954	7794
762	24981	7759
763	25007	7724
764	25040	7692
765	25072	7659
766	25103	7626
767	25130	7591
768	25158	7557
769	25190	7524
770	25218	7490
771	25248	7456
772	25276	7422
773	25312	7391
774	25341	7357
775	25368	7322
776	25396	7288
777	25428	7256
778	25458	7222
779	25487	7188
780	25521	7156
781	25559	7125
782	25586	7090
783	25614	7056
784	25646	7024
785	25677	6991
786	25711	6958
787	25739	6924
788	25766	6890
789	25801	6858
790	25828	6824
791	25856	6790
792	25886	6757
793	25916	6723
794	25958	6693
795	26000	6663
796	26028	6629
797	26061	6596
798	26097	6565
799	26125	6531
800	26156	6498
801	26188	6465
802	26215	6431
803	26241	6397
804	26272	6364
805	26304	6331
806	26342	6300
807	26379	6268
808	26408	6234
809	26436	6201
810	26466	6167
811	26493	6134
812	26523	6100
813	26548	6066
814	26582	6034
815	26608	6000
816	26636	5966
817	26663	5932
818	26690	5898
819	26723	5866
820	26751	5832
821	26785	5800
822	26812	5766
823	26838	5732
824	26871	5699
825	26904	5667
826	26931	5633
827	26960	5600
828	26994	5568
829	27023	5534
830	27050	5501
831	27076	5467
832	27107	5434
833	27143	5402
834	27168	5368
835	27195	5334
836	27223	5301
837	27255	5269
838	27286	5236
839	27313	5202
840	27342	5169
841	27373	5136
842	27405	5104
843	27435	5071
844	27466	5038
845	27502	5006
846	27532	4973
847	27558	4939
848	27588	4906
849	27617	4873
850	27643	4840
851	27670	4806
852	27696	4773
853	27724	4739
854	27755	4707
855	27793	4675
856	27823	4642
857	27853	4609
858	27880	4576
859	27913	4544
860	27943	4511
861	27975	4478
862	28001	4445
863	28033	4412
864	28060	4379
865	28089	4346
866	28118	4313
867	28151	4281
868	28185	4248
869	28211	4215
870	28240	4182
871	28267	4149
872	28294	4116
873	28327	4083
874	28356	4050
875	28382	4017
876	28409	3984
877	28437	3951
878	28469	3919
879	28496	3885
880	28530	3853
881	28564	3821
882	28593	3788
883	28619	3755
884	28646	3722
885	28679	3690
886	28708	3657
887	28738	3624
888	28770	3592
889	28798	3559
890	28830	3527
891	28859	3494
892	28887	3461
893	28914	3428
894	28950	3396
895	28982	3364
896	29009	3331
897	29043	3298
898	29072	3266
899	29103	3233
900	29131	3200
901	29157	3167
902	29183	3134
903	29217	3102
904	29243	3069
905	29269	3036
906	29297	3004
907	29322	2970
908	29351	2938
909	29385	2906
910	29414	2873
911	29444	2841
912	29471	2808
913	29495	2775
914	29534	2743
915	29568	2711
916	29597	2678
917	29626	2646
918	29657	2613
919	29683	2581
920	29716	2548
921	29748	2516
922	29783	2484
923	29812	2452
924	29840	2419
925	29877	2387
926	29907	2355
927	29936	2322
928	29968	2290
929	29999	2258
930	30031	2225
931	30069	2193
932	30105	2161
933	30132	2129
934	30164	2097
935	30194	2064
936	30227	2032
937	30259	2000
938	30293	1967
939	30320	1935
940	30351	1903
941	30382	1870
942	30407	1838
943	30436	1805
944	30464	1773
945	30498	1740
946	30526	1708
947	30556	1676
948	30586	1643
949	30618	1611
950	30648	1579
951	30677	1546
952	30712	1514
953	30740	1482
954	30773	1450
955	30803	1417
956	30830	1385
957	30860	1352
